index,CountryCode,SeriesCode,DESCRIPTION,Unnamed: 3
64,AFG,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects,
65,AFG,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects,
66,AFG,SP.POP.GROW,Data sources: United Nations World Population Prospects,
67,AFG,SP.POP.TOTL,Data sources : United Nations World Population Prospects,
68,AGO,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2015 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt data for 2015 are based on reports provided by the country.,
69,AGO,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
70,AGO,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)",
71,AGO,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)",
72,AGO,IT.CEL.SETS,Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.,
73,AGO,IT.CEL.SETS.P2,Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.,
74,AGO,IT.MLT.MAIN,Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.,
75,AGO,IT.MLT.MAIN.P2,Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.,
76,AGO,IT.NET.BBND,Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.,
77,AGO,IT.NET.BBND.P2,Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.,
78,AGO,IT.NET.USER.ZS,Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications.,
79,AGO,SH.XPD.EXTR.ZS,Some estimates should be viewed with caution as these are derived from scarce data.,
80,AGO,SH.XPD.OOPC.TO.ZS,Some estimates should be viewed with caution as these are derived from scarce data.,
81,AGO,SH.XPD.OOPC.ZS,Some estimates should be viewed with caution as these are derived from scarce data.,
82,AGO,SH.XPD.PCAP,Some estimates should be viewed with caution as these are derived from scarce data.,
83,AGO,SH.XPD.PCAP.PP.KD,Some estimates should be viewed with caution as these are derived from scarce data.,
84,AGO,SH.XPD.PRIV.ZS,Some estimates should be viewed with caution as these are derived from scarce data.,
85,AGO,SH.XPD.PUBL,Some estimates should be viewed with caution as these are derived from scarce data.,
86,AGO,SH.XPD.PUBL.GX.ZS,Some estimates should be viewed with caution as these are derived from scarce data.,
87,AGO,SH.XPD.PUBL.ZS,Some estimates should be viewed with caution as these are derived from scarce data.,
88,AGO,SH.XPD.TOTL.ZS,Some estimates should be viewed with caution as these are derived from scarce data.,
89,AGO,SM.POP.NETM,Data sources : United Nations World Population Prospects,
90,AGO,SM.POP.TOTL,Estimates are derived from data on foreign-born population. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. ,
91,AGO,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects,
92,AGO,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects,
93,AGO,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects,
94,AGO,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects,
95,AGO,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects,
96,AGO,SP.DYN.LE00.IN,Derived using male and female life expectancy,
97,AGO,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects,
98,AGO,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects,
99,AGO,SP.POP.GROW,Data sources: United Nations World Population Prospects,
100,AGO,SP.POP.TOTL,Data sources : United Nations World Population Prospects,
101,ALB,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2015 are based on reports provided by the country. Long-term private nonguaranteed and short-term debt data for 2015 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).,
102,ALB,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
103,ALB,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)",
104,ALB,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)",
105,ALB,IT.CEL.SETS,Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament,
106,ALB,IT.CEL.SETS.P2,Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament,
107,ALB,IT.MLT.MAIN,Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament,
108,ALB,IT.MLT.MAIN.P2,Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament,
109,ALB,IT.NET.BBND,Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament,
110,ALB,IT.NET.BBND.P2,Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament,
111,ALB,IT.NET.USER.ZS,Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament,
112,ALB,SH.XPD.PCAP,Changes for per capita values are due to fluctuations in the US$ exchange rates.,
113,ALB,SM.POP.NETM,Data sources : United Nations World Population Prospects,
114,ALB,SM.POP.TOTL,Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. ,
115,ALB,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects,
116,ALB,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects,
117,ALB,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects,
118,ALB,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects,
119,ALB,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects,
120,ALB,SP.DYN.LE00.IN,Derived using male and female life expectancy,
121,ALB,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects,
122,ALB,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects,
123,ALB,SP.POP.GROW,Data sources: United Nations World Population Prospects,
124,ALB,SP.POP.TOTL,"Data sources : Institute of Statistics, Eurostat",
125,AND,BM.KLT.DINV.CD.WD,"Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
126,AND,SM.POP.TOTL,Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. ,
127,AND,SP.DYN.CBRT.IN,Data sources : Eurostat,
128,AND,SP.DYN.CDRT.IN,Data sources : Eurostat,
129,AND,SP.DYN.TFRT.IN,Data sources : Eurostat,
130,AND,SP.POP.GROW,Data sources: United Nations World Population Prospects,
131,AND,SP.POP.TOTL,Data sources : United Nations World Population Prospects,
132,ARE,BM.KLT.DINV.CD.WD,"Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
133,ARE,BX.KLT.DINV.CD.WD,"Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
134,ARE,CM.MKT.TRNR,Method of calculation: Total domestic value of share trading of Abu Dhabi Serurities Market and Dubai Financial Market divided by total domestic market capitalization of the two exchanges.,
135,ARE,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
136,ARE,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)",
137,ARE,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)",
138,ARE,IT.CEL.SETS,Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.,
139,ARE,IT.CEL.SETS.P2,Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.,
140,ARE,IT.MLT.MAIN,Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.,
141,ARE,IT.MLT.MAIN.P2,Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.,
142,ARE,IT.NET.BBND,Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.,
143,ARE,IT.NET.BBND.P2,Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.,
144,ARE,IT.NET.USER.ZS,Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.,
145,ARE,SM.POP.NETM,Data sources : United Nations World Population Prospects,
146,ARE,SM.POP.TOTL,Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. ,
147,ARE,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects,
148,ARE,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects,
149,ARE,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects,
150,ARE,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects,
151,ARE,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects,
152,ARE,SP.DYN.LE00.IN,Derived using male and female life expectancy,
153,ARE,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects,
154,ARE,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects,
155,ARE,SP.POP.GROW,Data sources: United Nations World Population Prospects,
156,ARE,SP.POP.TOTL,Data sources : United Nations World Population Prospects,
157,ARG,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2015 are based on reports provided by the country. Short-term debt data for 2015 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).,
158,ARG,DT.DOD.DPNG.CD,Provincial debt for long-term private nonguaranteed debt data are World Bank staff estimates.,
159,ARG,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
160,ARG,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)",
161,ARG,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)",
162,ARG,IQ.SCI.MTHD,"The government of Argentina has declared a state of emergency in the national statistical system on 07 January 2016. As a consequence, Argentina's Instituto Nacional de Estadística y Censos (INDEC) has temporarily suspended publication of certain official statistics under its responsibility, pending re-organization. See the following link: https://www.boletinoficial.gob.ar/pdf/linkQR/QlFlS1dmVmpOWXMrdTVReEh2ZkU0dz09. The SCI Indicator may not reflect the latest development in Argentina.",
163,ARG,IQ.SCI.OVRL,"The government of Argentina has declared a state of emergency in the national statistical system on 07 January 2016. As a consequence, Argentina's Instituto Nacional de Estadística y Censos (INDEC) has temporarily suspended publication of certain official statistics under its responsibility, pending re-organization. See the following link: https://www.boletinoficial.gob.ar/pdf/linkQR/QlFlS1dmVmpOWXMrdTVReEh2ZkU0dz09. The SCI Indicator may not reflect the latest development in Argentina.",
164,ARG,IQ.SCI.PRDC,"The government of Argentina has declared a state of emergency in the national statistical system on 07 January 2016. As a consequence, Argentina's Instituto Nacional de Estadística y Censos (INDEC) has temporarily suspended publication of certain official statistics under its responsibility, pending re-organization. See the following link: https://www.boletinoficial.gob.ar/pdf/linkQR/QlFlS1dmVmpOWXMrdTVReEh2ZkU0dz09. The SCI Indicator may not reflect the latest development in Argentina.",
165,ARG,IT.CEL.SETS,Comisión Nacional de Comunicaciones.,
166,ARG,IT.CEL.SETS.P2,Comisión Nacional de Comunicaciones.,
167,ARG,IT.MLT.MAIN,Comisión Nacional de Comunicaciones.,
168,ARG,IT.MLT.MAIN.P2,Comisión Nacional de Comunicaciones.,
169,ARG,IT.NET.BBND,Comisión Nacional de Comunicaciones.,
170,ARG,IT.NET.BBND.P2,Comisión Nacional de Comunicaciones.,
171,ARG,IT.NET.USER.ZS,Comisión Nacional de Comunicaciones.,
172,ARG,NE.CON.PRVT.PP.CD,Estimates are based on regression.,
173,ARG,NE.CON.PRVT.PP.KD,Estimates are based on regression.,
174,ARG,NY.GDP.MKTP.PP.CD,Estimates are based on regression.,
175,ARG,NY.GDP.MKTP.PP.KD,Estimates are based on regression.,
176,ARG,NY.GDP.PCAP.PP.CD,Estimates are based on regression.,
177,ARG,NY.GDP.PCAP.PP.KD,Estimates are based on regression.,
178,ARG,NY.GNP.MKTP.PP.CD,Estimates are based on regression.,
179,ARG,NY.GNP.MKTP.PP.KD,Estimates are based on regression.,
180,ARG,NY.GNP.PCAP.PP.CD,Estimates are based on regression.,
181,ARG,NY.GNP.PCAP.PP.KD,Estimates are based on regression.,
182,ARG,PA.NUS.PPP,Estimates are based on regression.,
183,ARG,PA.NUS.PPPC.RF,Estimates are based on regression.,
184,ARG,PA.NUS.PRVT.PP,Estimates are based on regression.,
185,ARG,SG.NOD.CONS,There is no nondiscrimination provision.,
186,ARG,SM.POP.NETM,Data sources : United Nations World Population Prospects,
187,ARG,SM.POP.REFG,The decrease in the refugee population in 1998 is mainly due to a verification of records.,
188,ARG,SM.POP.TOTL,Estimates are derived from data on foreign-born population. ,
189,ARG,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects,
190,ARG,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects,
191,ARG,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects,
192,ARG,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects,
193,ARG,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects,
194,ARG,SP.DYN.LE00.IN,Derived using male and female life expectancy,
195,ARG,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects,
196,ARG,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects,
197,ARG,SP.POP.GROW,Data sources: United Nations World Population Prospects,
198,ARG,SP.POP.TOTL,Data sources : United Nations World Population Prospects,
199,ARM,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2015 are based on reports provided by the country. Long-term private nonguaranteed debt data from 2011 are World Bank staff estimates. Short-term debt data for 2015 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).,
200,ARM,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
201,ARM,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)",
202,ARM,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)",
203,ARM,IT.CEL.SETS,Ministry of Transport and Communications.,
204,ARM,IT.CEL.SETS.P2,Ministry of Transport and Communications.,
205,ARM,IT.MLT.MAIN,Ministry of Transport and Communications.,
206,ARM,IT.MLT.MAIN.P2,Ministry of Transport and Communications.,
207,ARM,IT.NET.BBND,Ministry of Transport and Communications.,
208,ARM,IT.NET.BBND.P2,Ministry of Transport and Communications.,
209,ARM,IT.NET.USER.ZS,Ministry of Transport and Communications.,
210,ARM,SH.XPD.PCAP,Changes for per capita values are due to fluctuations in the US$ exchange rates.,
211,ARM,SM.POP.NETM,Data sources : United Nations World Population Prospects,
212,ARM,SM.POP.TOTL,Estimates are derived from data on foreign-born population. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. ,
213,ARM,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects,
214,ARM,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects,
215,ARM,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects,
216,ARM,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects,
217,ARM,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects,
218,ARM,SP.DYN.LE00.IN,Derived using male and female life expectancy,
219,ARM,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects,
220,ARM,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects,
221,ARM,SP.POP.GROW,Data sources: United Nations World Population Prospects,
222,ARM,SP.POP.TOTL,Data sources : United Nations World Population Prospects,
223,ASM,BM.KLT.DINV.CD.WD,"Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
224,ASM,IT.CEL.SETS,American Samoa Telecommunications Authority.,
225,ASM,IT.CEL.SETS.P2,American Samoa Telecommunications Authority.,
226,ASM,IT.MLT.MAIN,American Samoa Telecommunications Authority.,
227,ASM,IT.MLT.MAIN.P2,American Samoa Telecommunications Authority.,
228,ASM,IT.NET.BBND,American Samoa Telecommunications Authority.,
229,ASM,IT.NET.BBND.P2,American Samoa Telecommunications Authority.,
230,ASM,IT.NET.USER.ZS,American Samoa Telecommunications Authority.,
231,ASM,SM.POP.TOTL,"Estimates are derived from data on foreign-born population. The estimates for American Samoa reflect, to the extent possible, all persons born outside its territory.",
232,ASM,SP.DYN.CBRT.IN,Data sources : United Nations Population and Vital Statistics Report,
233,ASM,SP.DYN.CDRT.IN,Data sources : United Nations Population and Vital Statistics Report,
234,ASM,SP.POP.GROW,Data sources: United Nations World Population Prospects,
235,ASM,SP.POP.TOTL,Data sources : United Nations World Population Prospects,
236,ATG,EG.EGY.PRIM.PP.KD,"Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
237,ATG,EG.ELC.RNEW.ZS,Sources: UN Energy Statistics (2014),
238,ATG,EG.FEC.RNEW.ZS,Sources: UN Energy Statistics (2014),
239,ATG,IT.CEL.SETS,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,
240,ATG,IT.CEL.SETS.P2,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,
241,ATG,IT.MLT.MAIN,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,
242,ATG,IT.MLT.MAIN.P2,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,
243,ATG,IT.NET.BBND,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,
244,ATG,IT.NET.BBND.P2,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,
245,ATG,IT.NET.USER.ZS,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,
246,ATG,SM.POP.NETM,Data sources : United Nations World Population Prospects,
247,ATG,SM.POP.TOTL,Estimates are derived from data on foreign-born population. ,
248,ATG,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects,
249,ATG,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects,
250,ATG,SP.DYN.CBRT.IN,Data sources : United Nations Population and Vital Statistics Report,
251,ATG,SP.DYN.CDRT.IN,Data sources : United Nations Population and Vital Statistics Report,
252,ATG,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects,
253,ATG,SP.DYN.LE00.IN,Derived using male and female life expectancy,
254,ATG,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects,
255,ATG,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects,
256,ATG,SP.POP.GROW,Data sources: United Nations World Population Prospects,
257,ATG,SP.POP.TOTL,Data sources : United Nations World Population Prospects,
258,AUS,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
259,AUS,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)",
260,AUS,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)",
261,AUS,IT.CEL.SETS,"Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",
262,AUS,IT.CEL.SETS.P2,"Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",
263,AUS,IT.MLT.MAIN,"Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",
264,AUS,IT.MLT.MAIN.P2,"Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",
265,AUS,IT.NET.BBND,"Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",
266,AUS,IT.NET.BBND.P2,"Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",
267,AUS,IT.NET.USER.ZS,"Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",
268,AUS,SG.MMR.LEVE.EP,No paid or unpaid maternity leave is available.,
269,AUS,SG.NOD.CONS,There is no nondiscrimination provision.,
270,AUS,SH.XPD.EXTR.ZS,"About 30% of the expenditure in residential facilities for care of the aged has a health purpose, but this is difficult to estimate routinely and so is not included under health at present. Such health-purpose expenditure was about US$ 2.1 billion in 2005–06 or 0.2% of GDP. The data for 2007 corresponds to the fiscal year 2007–08 starting on 01 July 2007. All 2008 entries are estimates made by WHO unless otherwise specified.",
271,AUS,SH.XPD.OOPC.TO.ZS,"About 30% of the expenditure in residential facilities for care of the aged has a health purpose, but this is difficult to estimate routinely and so is not included under health at present. Such health-purpose expenditure was about US$ 2.1 billion in 2005–06 or 0.2% of GDP. The data for 2007 corresponds to the fiscal year 2007–08 starting on 01 July 2007. All 2008 entries are estimates made by WHO unless otherwise specified.",
272,AUS,SH.XPD.OOPC.ZS,"About 30% of the expenditure in residential facilities for care of the aged has a health purpose, but this is difficult to estimate routinely and so is not included under health at present. Such health-purpose expenditure was about US$ 2.1 billion in 2005–06 or 0.2% of GDP. The data for 2007 corresponds to the fiscal year 2007–08 starting on 01 July 2007. All 2008 entries are estimates made by WHO unless otherwise specified.",
273,AUS,SH.XPD.PCAP,"About 30% of the expenditure in residential facilities for care of the aged has a health purpose, but this is difficult to estimate routinely and so is not included under health at present. Such health-purpose expenditure was about US$ 2.1 billion in 2005–06 or 0.2% of GDP. The data for 2007 corresponds to the fiscal year 2007–08 starting on 01 July 2007. All 2008 entries are estimates made by WHO unless otherwise specified.",
